Id,SalePrice
2658,159666.22627518277
2718,160045.53581849494
2414,195928.51150045986
1989,118139.03794292155
625,171205.24736843276
333,103988.2487166435
1327,122450.54329121253
858,156294.94432250998
95,190364.26139252723
1568,171320.92356137672
2482,160470.55797989754
1364,124696.27737224459
2584,152594.3635360762
818,279238.3687087109
2673,169567.81313817995
2089,136708.06323907728
1297,130531.13968017313
790,121785.25720085397
2616,186608.75990508433
720,189738.96559904714
222,144835.39659625269
557,120620.43330689432
1148,198791.7594903072
2766,174328.65536282328
534,189571.34829178857
1452,120064.1337508448
630,139073.86764140418
2648,129064.64593750192
125,145428.58398821251
1904,51996.38877704309
1670,114048.71280433286
756,102752.05378881031
717,249922.50837791254
1032,166821.90771998998
852,204904.736077272
1731,155739.5412604073
2639,134128.11643522853
2071,76018.53308885316
1267,101025.16677206379
1851,193233.04307558044
567,144391.6386949888
2439,201874.54311773556
1898,156067.84822574197
647,154586.34548186907
2256,210374.2190839969
979,108991.16615659623
1444,214240.64867512294
2485,125502.28605796008
157,125194.05366602752
88,131017.6487668876
2003,120460.71225560493
186,214741.66401634362
1425,245438.98195391
2695,132797.88672496268
738,94231.18841825785
395,155425.51404286013
1353,180540.6458340761
1878,143543.54001104343
390,173351.1228860366
1456,241954.27146808422
1103,298658.45738071506
1387,133393.98946028785
2070,132709.80171151191
1199,189569.2187351076
2479,168156.8174734813
501,308914.5053695381
2362,105408.21781981419
1718,205179.95406031297
2188,90249.1389535472
1483,149043.84806072578
2557,83519.9464352149
437,374495.40128636576
2224,190192.38778174628
1628,147778.71769608138
397,135121.48951475052
587,195490.26683250433
2182,583075.649936965
971,153862.35704151122
2611,160711.05468228582
1887,87060.08237086012
2399,397312.8734999979
2148,205880.3189238528
304,120321.98608563597
1997,132171.63276267974
2817,109015.45229718658
1431,175707.42214599712
427,392142.1908671401
263,118415.50244843366
598,171376.40680267446
2895,226686.11591183656
687,154369.02929208183
1822,141958.90393395544
2191,104734.71169677598
179,139488.66159899667
1009,211937.34158158326
2010,133403.5717784559
1991,140336.55950394316
1411,163457.7273801423
1721,232383.23989834543
1144,185735.67246040568
593,222285.7310190146
575,278217.2139913833
1249,164823.53204457296
1604,140669.87953272028
1064,514053.2908743117
1923,163322.62042150446
1988,104855.91961235346
2325,161629.22086275264
114,228945.5273328683
2700,169140.70881170584
217,114184.49238495909
343,184880.65750053336
386,225393.6800532556
2005,115418.80549942605
2908,149462.77725803666
1814,247827.97592149978
2446,544445.3219628581
208,128447.70239319396
1679,113819.37713219
822,345751.1049011943
6,200403.4340958799
1781,420760.3316917942
2397,291224.20586988225
2340,325349.99197554355
1618,176748.65812623638
2843,146421.5235193447
1061,381918.77512548753
